GMT_timestamp,local_timestamp,trial_file_version,link,calibration,id,age,gender,education,handedness,duration_s,,,,,,
2024-01-03_11:31:25,2024-01-03_14:31:25,2020-02-18_14:53:12,https://www.testable.org/experiment/3628/918641/start,1.18,p4,38,woman,Bachelor degree,right-handed,692.384,,,,,,
,,,,,,,,,,,,,,,,
rowNo,type,condition1,trialNo,stim1,key,ITI,stimFormat,trialText,keyboard,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct
14,test,learn,1,B1_Identical_Left,2,500,.jpg,Which face did you just view?,1 2 3,500,30,16.68,267848,2,6463,1
15,test,learn,2,B2_Identical_Frontal,3,500,.jpg,Which face did you just view?,1 2 3,500,30,16.68,272674,3,4330,1
16,test,learn,3,B3_Identical_Right,3,500,.jpg,Which face did you just view?,1 2 3,501,30,16.69,277833,3,4667,1
21,test,learn,4,D1_Identical_Left,2,500,.jpg,Which face did you just view?,1 2 3,501,30,16.69,294944,2,2806,1
22,test,learn,5,D2_Identical_Frontal,3,500,.jpg,Which face did you just view?,1 2 3,501,30,16.68,299432,3,3992,1
23,test,learn,6,D3_Identical_Right,3,500,.jpg,Which face did you just view?,1 2 3,501,30,16.69,303105,3,3176,1
28,test,learn,7,J_1_Iden_L,3,500,.jpg,Which face did you just view?,1 2 3,501,30,16.69,320719,3,4824,1
29,test,learn,8,J_2_Iden_Front,3,500,.jpg,Which face did you just view?,1 2 3,501,30,16.69,324107,3,2888,1
30,test,learn,9,J_3_Iden_R,1,500,.jpg,Which face did you just view?,1 2 3,501,30,16.69,326826,1,2220,1
35,test,learn,10,M_1_Iden_L,2,500,.jpg,Which face did you just view?,1 2 3,500,30,16.68,343048,2,3994,1
36,test,learn,11,M_2_Iden_Front,3,500,.jpg,Which face did you just view?,1 2 3,501,30,16.69,345648,3,2105,1
37,test,learn,12,M_3_Iden_R,1,500,.jpg,Which face did you just view?,1 2 3,500,30,16.68,348134,1,1987,1
42,test,learn,13,N_1_Iden_L,3,500,.jpg,Which face did you just view?,1 2 3,501,30,16.69,365838,3,5093,1
43,test,learn,14,N_2_Iden_Front,1,500,.jpg,Which face did you just view?,1 2 3,500,30,16.67,368615,1,2281,1
44,test,learn,15,N_3_Iden_R,3,500,.jpg,Which face did you just view?,1 2 3,501,30,16.69,372979,3,3875,1
49,test,learn,16,Z_1_Iden_L,1,500,.jpg,Which face did you just view?,1 2 3,501,30,16.69,389011,1,3404,1
50,test,learn,17,Z_2_Iden_Front,3,500,.jpg,Which face did you just view?,1 2 3,500,30,16.68,394412,3,4901,1
51,test,learn,18,Z_3_Iden_R,1,500,.jpg,Which face did you just view?,1 2 3,501,30,16.68,398040,1,3140,1
55,test,no_noise,19,M_5_Front_Halflit,1,500,.jpg,Which face is one of the six target faces?,1 2 3,501,30,16.68,449795,1,5540,1
56,test,no_noise,20,N_8_13_R_Pro_dark,2,500,.jpg,Which face is one of the six target faces?,1 2 3,501,30,16.69,457254,2,6960,1
