GMT_timestamp,local_timestamp,trial_file_version,link,calibration,id,age,gender,education,handedness,duration_s,,,,,,
2025-02-08_20:02:00,2025-02-08_23:02:00,2020-02-18_14:53:12,https://www.testable.org/experiment/3628/918641/start,0.73,p2,40,man,College or Technical school,right-handed,809.18,,,,,,
,,,,,,,,,,,,,,,,
rowNo,type,condition1,trialNo,stim1,key,ITI,stimFormat,trialText,keyboard,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct
14,test,learn,1,B1_Identical_Left,2,500,.jpg,Which face did you just view?,1 2 3,500,30,16.68,353668,2,11774,1
15,test,learn,2,B2_Identical_Frontal,3,500,.jpg,Which face did you just view?,1 2 3,501,30,16.68,359861,3,5704,1
16,test,learn,3,B3_Identical_Right,3,500,.jpg,Which face did you just view?,1 2 3,501,30,16.69,362820,3,2457,1
21,test,learn,4,D1_Identical_Left,2,500,.jpg,Which face did you just view?,1 2 3,500,30,16.68,382437,2,2739,1
22,test,learn,5,D2_Identical_Frontal,3,500,.jpg,Which face did you just view?,1 2 3,501,30,16.68,387611,3,4676,1
23,test,learn,6,D3_Identical_Right,3,500,.jpg,Which face did you just view?,1 2 3,501,30,16.69,390916,3,2809,1
28,test,learn,7,J_1_Iden_L,3,500,.jpg,Which face did you just view?,1 2 3,501,30,16.68,406685,3,2979,1
29,test,learn,8,J_2_Iden_Front,3,500,.jpg,Which face did you just view?,1 2 3,500,30,16.68,410604,3,3428,1
30,test,learn,9,J_3_Iden_R,1,500,.jpg,Which face did you just view?,1 2 3,500,30,16.68,414365,1,3268,1
35,test,learn,10,M_1_Iden_L,2,500,.jpg,Which face did you just view?,1 2 3,501,30,16.68,429501,2,2255,1
36,test,learn,11,M_2_Iden_Front,3,500,.jpg,Which face did you just view?,1 2 3,501,30,16.69,432788,3,2788,1
37,test,learn,12,M_3_Iden_R,1,500,.jpg,Which face did you just view?,1 2 3,500,30,16.68,438821,1,5536,1
42,test,learn,13,N_1_Iden_L,3,500,.jpg,Which face did you just view?,1 2 3,500,30,16.68,454493,3,3106,1
43,test,learn,14,N_2_Iden_Front,1,500,.jpg,Which face did you just view?,1 2 3,501,30,16.68,458109,1,3118,1
44,test,learn,15,N_3_Iden_R,3,500,.jpg,Which face did you just view?,1 2 3,501,30,16.68,460820,3,2210,1
49,test,learn,16,Z_1_Iden_L,1,500,.jpg,Which face did you just view?,1 2 3,501,30,16.69,477166,1,3841,1
50,test,learn,17,Z_2_Iden_Front,3,500,.jpg,Which face did you just view?,1 2 3,501,30,16.68,483733,3,6070,1
51,test,learn,18,Z_3_Iden_R,1,500,.jpg,Which face did you just view?,1 2 3,500,30,16.68,488611,1,4378,1
55,test,no_noise,19,M_5_Front_Halflit,1,500,.jpg,Which face is one of the six target faces?,1 2 3,501,30,16.69,558325,1,8323,1
56,test,no_noise,20,N_8_13_R_Pro_dark,2,500,.jpg,Which face is one of the six target faces?,1 2 3,501,30,16.69,568389,3,9562,0
57,test,no_noise,21,Z_6_23_Pro_L,1,500,.jpg,Which face is one of the six target faces?,1 2 3,500,30,16.68,574012,3,5126,0
